,method,MSEs
0,OLS,"[0.60554497226140969, 1.8731951522592898, 1.0307187510658671, 0.91313026456158353, 10.275107905613595, 1.7571675969855685, 1.5164021677628734, 0.60098531692943435, 0.58969581081916589, 0.89157615808754997]"
1,OLS-Poly,"[0.63257304933102332, 2.0266486974804958, 1.3897691142701507, 0.88557535850649505, 1367.9030787420752, 1.989731801615072, 1.8516174225565962, 0.4986765302099575, 0.59189727203187659, 1.1020284290826241]"
2,Ridge,"[0.56356216318274532, 1.8901147181241522, 0.61521538315815016, 0.89688995401830718, 8.1192412883359104, 1.7487319273295667, 1.5250788609089794, 0.64360809912091665, 0.59080596603657531, 0.77939860200962419]"
3,Ridge Poly,"[0.47933308391317897, 2.0206403060698204, 0.89344471640700263, 0.85989028369019105, 51.465501325633539, 1.9292193012209493, 2.0530410763379798, 0.52448481923421364, 0.58248350834504137, 1.066151063733459]"
4,Kernel Ridge,"[0.45428387201703391, 1.859210746536726, 0.58023963550070046, 0.9413854925363504, 0.94004882928008193, 2.0846701422805989, 2.102090409359274, 0.73022716307172952, 0.62640631496489174, 0.93301456610732569]"
5,RF,"[0.65285208661775562, 2.0740741663025606, 0.62479518086309804, 0.91397012978154635, 1.0464879129467546, 1.6263039329806888, 2.2734944163967579, 0.82111828161947498, 0.71822300527068261, 0.82457478960515496]"
6,SVR,"[0.38910583949222705, 1.7797336709371139, 0.50724503286047207, 0.90556001125762564, 0.94500213372308417, 1.7766720486729854, 1.9174508317127745, 0.80816649503435389, 0.6335135914455855, 0.73145003374696771]"
