,method,MSEs
0,OLS,"[69.80467862641777, 2.970483478591515, 1.0639500717095214, 3.1503735560279993, 1.4696733320110489, 1.9578577679866618, 0.30089836414186116, 0.8877798019038208, 1.320574464137383, 3.4720417995619997]"
1,Ridge,"[3.240278729511379, 0.5531183911344097, 2.5474483283329294, 1.3721896899945702, 0.45403977097105774, 0.7887814550041555, 0.3066870254070313, 0.78551663942617, 0.1339475312268046, 0.125941267414581]"
2,Kernel Ridge,"[2.6944108096627812, 0.962626943290244, 2.475610826747363, 1.3348784086635694, 0.22329387443358537, 0.34007270465784484, 0.10858618076969907, 0.5637940273536244, 0.06535374463969018, 0.03546454756351081]"
3,RF,"[3.746008399449552, 0.18765210587816053, 2.5087124988584533, 1.1874402206846348, 3.4679119601370076, 0.1912551857106203, 0.03600188240144035, 0.45530242736544846, 0.14782617283368704, 0.13655150611988556]"
4,SVR,"[2.954939175270472, 1.102352414913977, 2.3698767892414754, 1.3477101644435476, 0.7366960512805766, 0.34466940450060785, 0.1974855552450372, 0.5066349707142619, 0.01809116830209275, 0.033623380208293724]"
