,method,MSEs
0,OLS,"[117.6436528839921, 1.2442664302525566, 3.798777851334837, 2.9151550946446623, 3.1963939286508167, 4.549632815732814, 1.5579582780550794, 1.2930345329486475, 0.5387669308011341, 2.8297057583395127]"
1,Ridge,"[3.310079835957484, 0.5705492870397945, 2.596239922668697, 1.4172839518840419, 0.4731493138643006, 1.0479318050883533, 0.30668876469240125, 0.7967271604546452, 0.15180720750290227, 0.14214519223828387]"
2,Kernel Ridge,"[2.756854733846042, 0.9409365401990066, 2.4770122363559346, 1.3647950118582637, 0.21968336595608848, 0.394330353623608, 0.10430391870595783, 0.5513742493387476, 0.10154777740345888, 0.046542755241452315]"
3,RF,"[3.1588680593051848, 0.7286230651505146, 2.3867328079012986, 0.7891927590578062, 1.9013761964969733, 0.0075096164686558435, 0.08282780595347801, 0.5297464944505025, 0.638793527318505, 0.20230521556970815]"
4,SVR,"[3.0253372908065725, 1.1025684205258475, 2.3537290877202808, 1.3205779079974567, 0.948729202988805, 0.36911872807577045, 0.026219758132998608, 0.5179984582731377, 0.03959541344356754, 0.029384425829973516]"
