,method,MSEs
0,OLS,"[0.60554497226140946, 1.8731951522592911, 1.0307187510658666, 0.91313026456158342, 10.275107905613531, 1.7571675969855685, 1.5164021677628721, 0.60098531692943413, 0.58969581081916589, 0.89157615808755064]"
1,Ridge,"[0.47171780700216664, 1.8901147181241562, 0.61521538315817115, 0.8968899540183729, 8.1192412883340168, 1.8535866617179058, 1.815023404206257, 0.64360809912091899, 0.60028888398079783, 0.77939860200962019]"
2,Kernel Ridge,"[0.4542838720170333, 1.8592107465367249, 0.58023963550070035, 0.94138549253635107, 0.94004882928008215, 2.0846701422805998, 2.102090409359274, 0.73022716307172919, 0.62640631496489185, 0.93301456610732558]"
3,RF,"[0.54601579740216932, 1.7877221384894757, 0.47291648550536919, 0.99378692595328433, 0.92520536210015636, 1.8871534073716303, 2.9223660133260219, 1.037428570926153, 0.84348396416545657, 0.82674707420475979]"
4,SVR,"[0.38910583949222705, 1.7797336709371139, 0.50724503286047207, 0.90556001125762564, 0.94500213372308417, 1.7766720486729854, 1.9174508317127745, 0.80816649503435389, 0.6335135914455855, 0.73145003374696771]"
