,method,MSEs
0,OLS,"[2.4663845969206593, 1.9036257846368128, 8.392026711742325, 7.418069285903512, 0.7553132537722433, 16.738847475931593, 0.583883145857711, 7.825691841449709, 2.0462023486425576, 7.489917571206792]"
1,Ridge,"[0.5456444930078735, 0.20462471563484674, 6.405240498080019, 2.630384766443674, 0.40029064574113155, 1.9231088922701605, 1.0697510048523613, 0.6549772750358211, 2.9864690114631816, 0.8397433126652253]"
2,Kernel Ridge,"[0.4461179206569107, 0.3872399446939288, 3.8496605454068455, 0.8224542200645497, 0.4362117152186466, 0.5462119970533836, 0.9089515148848042, 0.3681511144647033, 2.087948251834506, 0.5394764686724892]"
3,RF,"[0.40453779063716405, 0.13526987364959106, 4.897094148747945, 1.5486043171457715, 1.8381653171249563, 1.1451052226223435, 1.7702587373285321, 0.644651443558627, 5.235413500967924, 1.2031389854499281]"
4,SVR,"[0.5296392994323127, 0.48650791840500596, 4.455769427708617, 1.2763063509602275, 0.7310241469806077, 0.5090422172145712, 1.003668635081684, 0.3449549875397368, 1.844528806987942, 0.5633763908664118]"
