Scientific_name,Order,Migratory01,CA,NB,CO,Nlat,Clutchsize,Clutchnum,Annfecund,avg_mass,open_fw,Dietsum,Foragesum,Bio1_mean,Bio1_std,Flight_rank,Wingload,Rangekm2,Signif_shift2
Athene_cunicularia,Strigiformes,1,-4.06,13.54,-1.38,46.9667,8,1,8,150.7,0,4,3,17.36695068,4.062163518,4,0.064610385,15061761.23,1
Auriparus_flaviceps,Passeriformes,0,0.25,2.38,2.24,36.35,4,2,8,6.9,0,3,2,18.37525152,3.585128375,NA,0.068965517,1753537.267,1
Aythya_affinis,Anseriformes,1,5.96,0.97,1.72,53.5167,9,1,9,723.25,1,2,1,13.12661663,4.598742886,2,0.176905374,16179279.31,1
Aythya_americana,Anseriformes,1,-13.82,2.82,1.3,53.5167,10.6,1,10.6,1008.65,0,2,2,13.06213402,4.550935867,2,0.154021444,11782524.98,1
Aythya_collaris,Anseriformes,1,12.44,1.88,-1.26,53.5167,8.58,1,8.58,706,1,2,1,13.53036438,4.576139631,2,0.180615135,14148140.98,1
Aythya_valisineria,Anseriformes,1,3.23,-5.2,1.67,50.9167,8.15,1,8.15,1285.08,0,2,1,12.84979467,4.237970806,2,0.124728877,11007436.69,0
Baeolophus_bicolor,Passeriformes,0,2.19,2.56,1.53,45.4,5.7,1,5.7,21.6,0,3,2,11.94552104,3.890255568,3,0.06765653,2969354.014,1
Bombycilla_cedrorum,Passeriformes,1,-0.04,0.33,1.59,53.5167,4.18,1.5,6.27,32.3,0,2,2,11.97739301,4.401931198,3,0.065768306,14350465.97,0
Botaurus_lentiginosus,Pelecaniformes,1,-0.12,-1.52,0.25,49.2667,4,1,4,432,1,3,2,15.56233099,4.705914762,4,0.058108461,14235266.56,0
Branta_canadensis,Anseriformes,1,12.44,-0.33,1.9,51.05,6,1.5,9,2374.035,0,2,2,11.54929512,3.85487074,3,0.112649898,17374831.92,0
Bubulcus_ibis,Pelecaniformes,1,7.12,-8.08,-0.95,49.6667,3.02,1,3.02,365.8,0,2,1,19.00129717,3.55139148,4,0.034817296,26259603.7,0
Bucephala_clangula,Anseriformes,1,1.05,0.09,1,53.5167,8.85,1,8.85,926.17,0,1,1,10.93362408,4.144796091,2,0.147204908,15412617.36,0
Buteo_albicaudatus,Accipitriformes,0,-0.98,0.13,0.44,29.6833,2,1,2,1022,0,3,2,21.85877778,1.025962643,4,0.04673618,9464193.189,0
Buteo_jamaicensis,Accipitriformes,1,6.95,-2.91,1.31,50.9167,2.6,1,2.6,1126,0,4,2,11.9288753,4.4645859,4,0.050804502,15745056.44,0
Buteo_lagopus,Accipitriformes,1,5.94,4.36,5.51,53.5167,3.03,1,3.03,951,0,2,2,10.42356082,3.768846573,4,0.04135998,11180641.32,1
Buteo_lineatus,Accipitriformes,1,2.96,2.33,-3.03,45.4,3.5,1,3.5,606.9,0,4,2,13.64617139,4.507973136,4,0.052212806,3993026.803,1
Buteo_regalis,Accipitriformes,1,6.38,-7.6,4.55,46.6833,3,1,3,1469.5,0,4,2,14.42867204,4.52496672,4,0.04673618,4522023.456,0
