,method,MSEs
0,OLS,"[1.7823056919929345, 4.295686187749542, 8.1670976078190378, 6.1800221531158837, 7.896663509755987]"
1,OLS-Poly,"[1.0589645099317226, 8.2801776224764936, 2.5971740822807745, 2.403282552462394, 3.7629425902641964]"
2,Ridge,"[1.4587137509251527, 4.6616292278310638, 7.3714196169294723, 5.5503758600303881, 8.3238146356498461]"
3,Ridge Poly,"[1.0557523198253298, 9.2392734049466902, 2.7961096472636195, 2.6030121758291669, 3.7807308723678563]"
4,Kernel Ridge,"[0.46151749828790462, 1.9625761289987684, 0.54941329540601214, 0.77467007725315606, 1.371301477253009]"
5,RF,"[0.44052580087841636, 2.3043702254324425, 0.53045939926312946, 1.8349024791324076, 4.2715503424158552]"
6,SVR,"[0.63117379457816669, 2.182971719883736, 0.62611652907589777, 0.65285670341768254, 1.2883804898196505]"
