,method,MSEs
0,OLS,"[1.0495284059268579, 3.9862640745012459, 1.0747435909757423, 2.2312958673584276, 4.0657619653081509, 0.60255076299455146, 0.83291640503701403, 0.47899483287436206, 0.52082019256935974, 1.2786910510603087]"
1,OLS-Poly,"[5.0304756134974351, 4.291160785814105, 4.3364553393751608, 2.7405808098441922, 4.8162966392832516, 0.69858287947424558, 0.72928069747967983, 0.43752024472014117, 0.49691402878128982, 1.3844018622210321]"
2,Ridge,"[0.82127768197120909, 2.9837557821205287, 0.79546735747455688, 0.88768331478447238, 2.7063544211384496, 0.57681701199065372, 0.42575725149396754, 0.61074156530190826, 0.65678606511414184, 0.85763882058113439]"
3,Ridge Poly,"[1.7988441180149413, 3.2020363305549751, 1.7466914541365082, 0.9864126625260633, 2.9178305907498228, 0.6382866378209362, 0.44746160845281063, 0.57603421767294305, 0.62965616726462603, 0.93635054463441281]"
4,Kernel Ridge,"[0.80230429104658818, 3.132129534718076, 0.74878137342528306, 0.83164106379494374, 2.822769373486913, 0.58815458245703667, 0.42035110209539878, 0.57750910565134339, 0.6303959170555421, 0.81855540252554282]"
5,RF,"[0.9283510320604258, 2.4014707548739596, 0.73593553848860804, 0.81007538351487618, 3.00912804030982, 0.62958573570509646, 0.77339249002017485, 0.81118120436517349, 1.0870881055869381, 1.3486482742566481]"
6,SVR,"[0.61555969105467867, 2.6526258559489282, 0.68891788397039422, 0.76594929653443966, 2.7166594630729741, 0.62230753848059739, 0.41613484976125464, 0.67744637911656358, 0.87691737021858074, 0.67757529630863533]"
