,method,MSEs
0,OLS,"[0.9948322262088056, 3.9296896063612143, 1.5674365149592608, 1.9170760155207143, 3.953926060729926, 0.6316104015651003, 0.9329072069595418, 0.5797926124181928, 0.6385977044273942, 1.2805450698037504]"
1,Ridge,"[0.7997941881444569, 3.0359460268129013, 0.8687957969389544, 0.8463959122387186, 2.741220042798618, 0.5844191098908114, 0.42740185032574607, 0.6712493730719615, 0.6784039675967943, 0.8522275792934114]"
2,Kernel Ridge,"[0.7712803103752224, 3.1118528597410013, 0.7809672987901741, 0.7768169415755898, 2.8007668017104077, 0.5849461333513678, 0.4279641095082896, 0.6150316987831971, 0.6394466891969822, 0.7693045929493468]"
3,RF,"[1.2933623529945102, 2.5979978661758105, 1.1767125076877276, 1.088532734847296, 2.907512393453565, 0.6124820606168518, 0.8638993993968038, 1.0200075639404023, 1.1657169190182206, 2.179379444408087]"
4,SVR,"[0.5943692856516901, 2.5770399707523435, 0.6868720325038179, 0.7364101119538957, 2.8000940011487607, 0.6588159693148862, 0.41713246769219586, 0.6746646265152665, 0.8311443141832058, 0.6802960801689626]"
