,method,MSEs
0,OLS,"[69.804678626417854, 2.9704834785914773, 1.0639500717095201, 3.1503735560279971, 1.4696733320110482, 1.9578577679866658, 0.3008983641418615, 0.88777980190382377, 1.3205744641373864, 3.472041799562017]"
1,OLS-Poly,"[192581.47518462324, 381.58294370214361, 1720.4558743793939, 5513.6914806095619, 14.173204488961479, 92.659996257439659, 43.65898288195573, 320.15083144728311, 120.31269658924836, 39.667310346579924]"
2,Ridge,"[3.2402787295113846, 0.55311839113440986, 2.5474483283329326, 1.3721896899945583, 0.45403977097106946, 0.78878145500416297, 0.30668702540702597, 0.78551663942616645, 0.13394753122680483, 0.12594126741458114]"
3,Ridge Poly,"[3.6067825816080816, 0.18163954909599003, 2.8259660854444015, 2.1898787815123568, 3.6190389330520571, 0.60037358327801338, 0.5561331012796924, 87.057758163248977, 0.14506981522802193, 0.091789947382943687]"
4,Kernel Ridge,"[2.6944108096627812, 0.96262694329024401, 2.475610826747364, 1.3348784086635694, 0.2232938744335855, 0.34007270465784495, 0.10858618076969921, 0.56379402735362438, 0.065353744639690348, 0.035464547563510737]"
5,RF,"[3.5736368696303735, 1.4473106465990035, 2.7984098140749825, 1.6937131719796954, 2.0888509574898335, 0.056105047876245172, 0.09308498502883901, 0.47182001836856458, 0.20062002672938969, 0.018094402413528918]"
6,SVR,"[2.9549391752704719, 1.102352414913977, 2.3698767892414754, 1.3477101644435476, 0.73669605128057658, 0.34466940450060785, 0.19748555524503719, 0.50663497071426189, 0.018091168302092751, 0.033623380208293724]"
